Player, Mat, inn, ov, Runs, Wkts, BBI, Avg, Econ, SR, 4W, 5W
Imran Tahir,1,1,4,16,2,2/16,4.00,8.00,12.00,0,0
Moises Henriques,5,5,10,45,4,3/12,4.50,11.25,15.00,0,0
Aiden Markram,6,2,4,23,0,0/5,5.75,0.00,0.00,0,0
Nitish Rana,17,2,2,12,0,0/5,6.00,0.00,0.00,0,0
Harpreet Brar,7,7,23,139,5,3/19,6.04,27.80,27.60,0,0
Anrich Nortje,8,8,30.2,187,12,2/12,6.16,15.58,15.16,0,0
Ravi Bishnoi,9,9,35,222,12,3/24,6.34,18.50,17.50,0,0
Nathan Coulter-Nile,5,5,20,127,7,4/14,6.35,18.14,17.14,1,0
Moeen Ali,15,10,25.2,161,6,3/7,6.35,26.83,25.33,0,0
Abhishek Sharma,8,6,10,64,4,2/4,6.40,16.00,15.00,0,0
Sunil Narine,14,14,56,361,16,4/21,6.44,22.56,21.00,1,0
Daniel Sams,2,2,6,39,1,1/24,6.50,39.00,36.00,0,0
Shahbaz Ahmed,11,6,14,92,7,3/7,6.57,13.14,12.00,0,0
Varun Chakaravarthy,17,17,68,448,18,3/13,6.58,24.88,22.66,0,0
Axar Patel,12,12,46,306,15,3/21,6.65,20.40,18.40,0,0
Rashid Khan,14,14,56,375,18,3/36,6.69,20.83,18.66,0,0
Mahipal Lomror,4,4,7,47,1,1/22,6.71,47.00,42.00,0,0
Mohammed Siraj,15,15,52,353,11,3/27,6.78,32.09,28.36,0,0
Yuzvendra Chahal,15,15,53,374,18,3/11,7.05,20.77,17.66,0,0
Ravindra Jadeja,16,16,49,346,13,3/13,7.06,26.61,22.61,0,0
Shakib Al Hasan,8,8,26,187,4,1/1,7.19,46.75,39.00,0,0
Lalit Yadav,7,5,14,101,4,2/13,7.21,25.25,21.00,0,0
Kieron Pollard,14,9,13.1,95,5,2/8,7.21,19.00,15.80,0,0
Shivam Mavi,9,9,32.1,233,11,4/21,7.24,21.18,17.54,1,0
Mujeeb Ur Rahman,1,1,4,29,2,2/29,7.25,14.50,12.00,0,0
Jimmy Neesham,3,3,9,66,5,3/12,7.33,13.20,10.80,0,0
Ripal Patel,2,1,3,22,0,0/22,7.33,0.00,0.00,0,0
Washington Sundar,6,6,16,118,3,1/7,7.37,39.33,32.00,0,0
Avesh Khan,16,16,61,450,24,3/13,7.37,18.75,15.25,0,0
Rahul Chahar,11,11,43,318,13,4/27,7.39,24.46,19.84,1,0
Ravichandran Ashwin,13,13,44.4,331,7,2/27,7.41,47.28,38.28,0,0
Jasprit Bumrah,14,14,55,410,21,3/36,7.45,19.52,15.71,0,0
Chris Woakes,3,3,11,82,5,2/18,7.45,16.40,13.20,0,0
Lockie Ferguson,8,8,30,224,13,3/18,7.46,17.23,13.84,0,0
Mohammad Shami,14,14,52.4,395,19,3/21,7.50,20.78,16.63,0,0
Marco Jansen,2,2,6,45,2,2/28,7.50,22.50,18.00,0,0
Sandeep Warrier,1,1,2,15,0,0/15,7.50,0.00,0.00,0,0
Jaydev Unadkat,6,6,22,168,4,3/15,7.63,42.00,33.00,0,0
Jayant Yadav,5,5,17,130,2,1/25,7.64,65.00,51.00,0,0
Jason Holder,8,8,31.5,247,16,4/52,7.75,15.43,11.93,1,0
Amit Mishra,4,4,14,109,6,4/24,7.78,18.16,14.00,1,0
Dwayne Bravo,11,11,33.4,263,14,3/24,7.81,18.78,14.42,0,0
Trent Boult,14,14,51.2,406,13,3/28,7.90,31.23,23.69,0,0
Tim Southee,3,3,12,95,3,2/26,7.91,31.66,24.00,0,0
Bhuvneshwar Kumar,11,11,42,335,6,1/16,7.97,55.83,42.00,0,0
Krunal Pandya,13,12,33.1,265,5,1/13,7.98,53.00,39.80,0,0
Chris Jordan,4,4,12,96,4,2/20,8.00,24.00,18.00,0,0
Umran Malik,3,3,12,96,2,1/21,8.00,48.00,36.00,0,0
Kuldip Yadav,1,1,2,16,0,0/16,8.00,0.00,0.00,0,0
Ishant Sharma,3,3,12,97,1,1/26,8.08,97.00,72.00,0,0
Khaleel Ahmed,7,7,27,219,5,3/21,8.11,43.80,32.40,0,0
Venkatesh Iyer,10,4,8.3,69,3,2/29,8.11,23.00,17.00,0,0
Kagiso Rabada,15,15,56,456,15,3/36,8.14,30.40,22.40,0,0
Harshal Patel,15,15,56.2,459,32,5/27,8.14,14.34,10.56,1,1
